TIME,AVERAGE_PACKET_SIZE,CARD_PROGRAMABLE_NOT_UPTODATE,CPU_0_5MIN_AVG_SESSMGR_CPUS,NPU_FLOWS_USED,NPU_UTILIZATION_NPU_5MIN,PGW_PDNS_HOME_ACTIVE,PGW_PDNS_IPV4_ACTIVE,PGW_PDNS_IPV4V6_ACTIVE,PGW_PDNS_IPV6_ACTIVE,PGW_PDNS_ROAMING_ACTIVE,PGW_PDNS_TOTAL_ACTIVE,PGW_PDNS_VISITING_ACTIVE,SESSION_CREDITS_USED,SESSMGR_ACTIVE_CARDS,SSD_DURATION_AVG,SSD_DURATION_MAX,THROUGHPUT_KPPS,THROUGHPUT_MBPS,TOTAL_CALLS_CONNECTED_SEC,TOTAL_CALLS_DISCONNECTED_SEC,TOTAL_SUBSCRIBERS
2017-01-24 22:43:20,0.00,DATATYPE MISMATCH,8.17,343958.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2008209.00,7.00,0.00,0.00,0.00,0.00,3317.25,2414.44,1666694.00
2017-01-24 23:14:40,0.00,DATATYPE MISMATCH,8.39,912718.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3919023.00,7.00,0.00,0.00,0.00,0.00,2740.15,2373.60,3778479.00
2017-01-24 23:45:55,0.00,DATATYPE MISMATCH,7.93,1141371.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4333138.67,7.00,0.00,0.00,0.00,0.00,2335.69,2277.82,4320570.50
2017-01-25 01:20:39,854.22,DATATYPE MISMATCH,9.34,1143634.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4247267.00,7.00,0.00,0.00,18.76,128.01,2617.14,2539.51,4247499.33
2017-01-25 01:52:35,853.49,DATATYPE MISMATCH,9.29,1143983.33,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4229353.33,7.00,0.00,0.00,17.83,121.39,2600.74,2526.91,4229445.33
2017-01-25 02:24:07,852.67,DATATYPE MISMATCH,9.22,1144158.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4206498.33,7.00,0.00,0.00,22.44,152.48,2591.38,2519.27,4206010.67
